id,priorytet,hipoteza,player_a,player_b,move_limit,iterations,C,minimax_depth,early_term_depth,alpha_blend_alpha,games,seeds,color_swap,metryki
E01,HIGH,H1,uct,alphabeta,150,100,0.1,,,,50,20,TRUE,win_rate;draw_rate;avg_game_len;avg_time_per_move
E02,HIGH,H1,uct,alphabeta,150,100,0.3,,,,50,20,TRUE,win_rate;draw_rate;avg_game_len;avg_time_per_move
E03,HIGH,H1,uct,alphabeta,150,100,0.7,,,,50,20,TRUE,win_rate;draw_rate;avg_game_len;avg_time_per_move
E04,HIGH,H1,uct,alphabeta,150,100,1.0,,,,50,20,TRUE,win_rate;draw_rate;avg_game_len;avg_time_per_move
E05,HIGH,H1,uct,alphabeta,150,100,1.4,,,,50,20,TRUE,win_rate;draw_rate;avg_game_len;avg_time_per_move
E06,HIGH,H1,uct,alphabeta,150,100,2.0,,,,50,20,TRUE,win_rate;draw_rate;avg_game_len;avg_time_per_move
E07,HIGH,H1,uct,alphabeta,150,100,3.0,,,,50,20,TRUE,win_rate;draw_rate;avg_game_len;avg_time_per_move
E08,HIGH,H1,uct,alphabeta,150,500,1.4,,,,50,20,TRUE,win_rate;draw_rate;avg_game_len;avg_time_per_move
E09,HIGH,H1,uct,alphabeta,150,1000,1.4,,,,50,20,TRUE,win_rate;draw_rate;avg_game_len;avg_time_per_move
E10,HIGH,H1,uct,alphabeta,150,5000,1.4,,,,50,20,TRUE,win_rate;draw_rate;avg_game_len;avg_time_per_move
E11,HIGH,H1,uct,alphabeta,150,10000,1.4,,,,50,20,TRUE,win_rate;draw_rate;avg_game_len;avg_time_per_move
E12,HIGH,H2,uct_minimax,uct,150,1000,1.4,2,,,50,20,TRUE,win_rate;draw_rate;avg_game_len;avg_time_per_move;seed_variance
E13,HIGH,H2,uct_minimax,uct,150,5000,1.4,2,,,50,20,TRUE,win_rate;draw_rate;avg_game_len;avg_time_per_move;seed_variance
E14,HIGH,H3,uct_early_term,uct,150,1000,1.4,,20,0.5,50,20,TRUE,win_rate;draw_rate;avg_game_len;avg_time_per_move;seed_variance
E15,HIGH,H3,uct_early_term,uct,150,5000,1.4,,20,0.5,50,20,TRUE,win_rate;draw_rate;avg_game_len;avg_time_per_move;seed_variance
E16,MEDIUM,H4,uct,alphabeta,100,1000,1.4,,,,50,20,TRUE,win_rate;draw_rate;avg_game_len;avg_time_per_move
E17,MEDIUM,H4,uct_minimax,alphabeta,100,1000,1.4,2,,,50,20,TRUE,win_rate;draw_rate;avg_game_len;avg_time_per_move
E18,MEDIUM,H4,uct_early_term,alphabeta,100,1000,1.4,,20,0.5,50,20,TRUE,win_rate;draw_rate;avg_game_len;avg_time_per_move
