experiment_id,n_games,player_a,player_b,player_a_params,player_b_params,move_limit,a_wins,b_wins,draws,a_win_rate,b_win_rate,draw_rate,a_ci_low,a_ci_high,avg_game_length,std_game_length,avg_time_white,avg_time_black
E01,50,uct,alphabeta,"{'iterations': 100, 'c': 0.1}",{'max_depth': 6},150,0,50,0,0.0,1.0,0.0,0.0,0.07135003417431873,51.62,7.997167866035514,0.77513526,0.6428037600000001
E02,50,uct,alphabeta,"{'iterations': 100, 'c': 0.3}",{'max_depth': 6},150,0,50,0,0.0,1.0,0.0,0.0,0.07135003417431873,55.9,9.676923950453322,0.8835181400000001,0.72447602
E03,50,uct,alphabeta,"{'iterations': 100, 'c': 0.7}",{'max_depth': 6},150,0,48,2,0.0,0.96,0.04,0.0,0.07135003417431873,61.34,20.286327958524588,0.9260290400000001,0.6843188999999998
E04,50,uct,alphabeta,"{'iterations': 100, 'c': 1.0}",{'max_depth': 6},150,2,44,4,0.04,0.88,0.08,0.028961347339173424,0.09460337877954667,68.7,29.401686748781426,0.8560913799999998,0.87455702
E05,50,uct,alphabeta,"{'iterations': 100, 'c': 1.4}",{'max_depth': 6},150,0,50,0,0.0,1.0,0.0,0.0,0.07135003417431873,54.1,12.917714462658457,0.8130897200000001,0.7214197600000002
E06,50,uct,alphabeta,"{'iterations': 100, 'c': 2.0}",{'max_depth': 6},150,0,44,6,0.0,0.88,0.12,0.0,0.07135003417431873,68.92,35.05671207093572,0.85006318,0.6230906399999999
E07,50,uct,alphabeta,"{'iterations': 100, 'c': 3.0}",{'max_depth': 6},150,0,45,5,0.0,0.9,0.1,0.0,0.07135003417431873,63.66,29.772340265722466,0.77888424,0.70435734
E08,50,uct,alphabeta,"{'iterations': 500, 'c': 1.4}",{'max_depth': 6},150,2,35,13,0.04,0.7,0.26,0.028961347339173424,0.09460337877954667,92.76,41.19023066263184,8.911697179999999,2.7819590800000005
E09,50,uct,alphabeta,"{'iterations': 1000, 'c': 1.4}",{'max_depth': 6},150,9,28,13,0.18,0.56,0.26,0.08229917267546209,0.1279631945470261,89.7,39.01399539568709,2.9274253999999997,2.8493459600000004
E10,50,uct,alphabeta,"{'iterations': 5000, 'c': 1.4}",{'max_depth': 6},150,40,6,4,0.8,0.12,0.08,0.13037372104485234,0.08756370054026119,74.58,29.630438018072855,14.232283220000001,13.67433756
E11,50,uct,alphabeta,"{'iterations': 10000, 'c': 1.4}",{'max_depth': 6},150,38,2,10,0.76,0.04,0.2,0.13412949375192373,0.09702747598127792,75.62,37.812043217008224,26.259416820000002,22.871813200000002
E12,50,uct_minimax,uct,"{'iterations': 1000, 'c': 1.4, 'minimax_depth': 2}","{'iterations': 1000, 'c': 1.4}",150,20,18,12,0.4,0.36,0.24,0.12391810213754251,0.1381881089724063,89.26,40.16740987823997,6.066950300000002,4.87659216
E13,50,uct_minimax,uct,"{'iterations': 5000, 'c': 1.4, 'minimax_depth': 2}","{'iterations': 5000, 'c': 1.4}",150,5,30,15,0.1,0.6,0.3,0.0565248760084289,0.1136049033478839,87.52,41.92619365367806,27.989351100000004,25.138286240000003
E14,50,uct_early_term,uct,"{'iterations': 1000, 'c': 1.4, 'playout_depth': 20, 'alpha': 0.5}","{'iterations': 1000, 'c': 1.4}",150,30,11,9,0.6,0.22,0.18,0.1381881089724063,0.12391810213754251,83.32,35.368289729181804,4.87558974,4.75471372
E15,50,uct_early_term,uct,"{'iterations': 5000, 'c': 1.4, 'playout_depth': 20, 'alpha': 0.5}","{'iterations': 5000, 'c': 1.4}",150,10,17,23,0.2,0.34,0.46,0.08756370054026115,0.1303737210448524,104.26,43.01960160727874,23.053951660000003,22.104051899999998
E16,50,uct,alphabeta,"{'iterations': 1000, 'c': 1.4}",{'max_depth': 6},100,17,17,16,0.34,0.34,0.32,0.11563230364938942,0.13846431458517144,74.14,18.94245851767604,3.34360126,2.952375
E17,50,uct_minimax,alphabeta,"{'iterations': 1000, 'c': 1.4, 'minimax_depth': 2}",{'max_depth': 6},100,7,22,21,0.14,0.44,0.42,0.0704925473797714,0.12186457198528089,79.76,18.461830452949933,3.3525527600000005,3.4620810800000004
E18,50,uct_early_term,alphabeta,"{'iterations': 1000, 'c': 1.4, 'playout_depth': 20, 'alpha': 0.5}",{'max_depth': 6},100,21,15,14,0.42,0.3,0.28,0.1262520276543307,0.1376680331222217,74.04,17.348716355502315,2.6273342799999995,2.55962696
